date,1. open,2. high,3. low,4. close,5. volume
2020-04-28 15:32:00,89.48,89.51,89.42,89.44,5469.0
2020-04-28 15:33:00,89.43,89.475,89.43,89.455,5792.0
2020-04-28 15:34:00,89.45,89.46,89.345,89.375,10469.0
2020-04-28 15:35:00,89.37,89.37,89.2756,89.2756,5785.0
2020-04-28 15:36:00,89.29,89.32,89.18,89.18,7696.0
2020-04-28 15:37:00,89.2,89.26,89.19,89.26,5848.0
2020-04-28 15:38:00,89.28,89.28,89.18,89.2,17224.0
2020-04-28 15:39:00,89.21,89.28,89.19,89.26,11570.0
2020-04-28 15:40:00,89.27,89.31,89.25,89.31,7797.0
2020-04-28 15:41:00,89.315,89.35,89.29,89.3,7162.0
2020-04-28 15:42:00,89.31,89.37,89.31,89.36,6273.0
2020-04-28 15:43:00,89.36,89.38,89.32,89.34,7052.0
2020-04-28 15:44:00,89.35,89.35,89.29,89.32,7602.0
2020-04-28 15:45:00,89.32,89.38,89.275,89.28,10591.0
2020-04-28 15:46:00,89.28,89.29,89.125,89.18,11741.0
2020-04-28 15:47:00,89.19,89.19,89.14,89.14,8709.0
2020-04-28 15:48:00,89.13,89.17,89.125,89.15,13959.0
2020-04-28 15:49:00,89.14,89.165,89.045,89.06,15503.0
2020-04-28 15:50:00,89.05,89.05,88.955,88.955,16446.0
2020-04-28 15:51:00,88.9,89.02,88.84,89.0,30255.0
2020-04-28 15:52:00,88.99,89.01,88.85,88.85,15895.0
2020-04-28 15:53:00,88.85,88.88,88.81,88.82,16405.0
2020-04-28 15:54:00,88.82,88.83,88.78,88.82,21999.0
2020-04-28 15:55:00,88.8,88.83,88.72,88.76,16513.0
2020-04-28 15:56:00,88.77,88.8,88.71,88.78,50571.0
2020-04-28 15:57:00,88.79,88.87,88.76,88.87,17515.0
2020-04-28 15:58:00,88.8466,88.85,88.73,88.78,26416.0
2020-04-28 15:59:00,88.78,88.83,88.72,88.82,29551.0
2020-04-28 16:00:00,88.81,88.87,88.68,88.8,68084.0
2020-04-29 09:31:00,89.96,90.085,89.55,89.55,185782.0
2020-04-29 09:32:00,89.4,89.64,89.4,89.64,3137.0
2020-04-29 09:33:00,89.78,90.11,89.78,89.95,27289.0
2020-04-29 09:34:00,89.91,90.0,89.81,89.83,12493.0
2020-04-29 09:35:00,89.89,89.95,89.79,89.93,17172.0
2020-04-29 09:36:00,89.93,89.9548,89.8,89.83,12013.0
2020-04-29 09:37:00,89.79,90.13,89.78,90.08,33422.0
2020-04-29 09:38:00,90.06,90.14,90.03,90.115,23061.0
2020-04-29 09:39:00,90.15,90.22,90.11,90.16,10969.0
2020-04-29 09:40:00,90.16,90.23,90.095,90.19,10126.0
2020-04-29 09:41:00,90.15,90.29,90.095,90.26,16091.0
2020-04-29 09:42:00,90.25,90.34,90.23,90.3,11625.0
2020-04-29 09:43:00,90.3,90.3125,90.18,90.2,22496.0
2020-04-29 09:44:00,90.25,90.32,90.15,90.2404,13010.0
2020-04-29 09:45:00,90.25,90.26,90.07,90.165,9400.0
2020-04-29 09:46:00,90.17,90.23,90.1313,90.155,13470.0
2020-04-29 09:47:00,90.19,90.22,90.09,90.09,8278.0
2020-04-29 09:48:00,90.06,90.2018,90.03,90.2,9197.0
2020-04-29 09:49:00,90.1968,90.3,90.11,90.3,13508.0
2020-04-29 09:50:00,90.31,90.4405,90.31,90.4,15003.0
2020-04-29 09:51:00,90.41,90.53,90.39,90.5,18343.0
2020-04-29 09:52:00,90.5145,90.6,90.5,90.565,13088.0
2020-04-29 09:53:00,90.58,90.61,90.49,90.5,28754.0
2020-04-29 09:54:00,90.52,90.68,90.515,90.66,18769.0
2020-04-29 09:55:00,90.64,90.69,90.595,90.605,18877.0
2020-04-29 09:56:00,90.6,90.73,90.5802,90.72,15725.0
2020-04-29 09:57:00,90.74,90.9,90.71,90.82,24663.0
2020-04-29 09:58:00,90.82,90.9098,90.8,90.84,11618.0
2020-04-29 09:59:00,90.83,90.89,90.73,90.73,11934.0
2020-04-29 10:00:00,90.73,90.84,90.73,90.78,14618.0
2020-04-29 10:01:00,90.77,90.82,90.7,90.7,10183.0
2020-04-29 10:02:00,90.7,90.735,90.65,90.725,8942.0
2020-04-29 10:03:00,90.74,90.81,90.71,90.71,5828.0
2020-04-29 10:04:00,90.7,90.77,90.67,90.72,9095.0
2020-04-29 10:05:00,90.735,90.84,90.73,90.78,17162.0
2020-04-29 10:06:00,90.76,90.82,90.6893,90.7,8237.0
2020-04-29 10:07:00,90.71,90.77,90.6101,90.6101,11014.0
2020-04-29 10:08:00,90.62,90.66,90.56,90.565,7742.0
2020-04-29 10:09:00,90.52,90.5202,90.38,90.41,15485.0
2020-04-29 10:10:00,90.43,90.515,90.43,90.47,4072.0
2020-04-29 10:11:00,90.48,90.55,90.45,90.52,3917.0
2020-04-29 10:12:00,90.53,90.53,90.4,90.44,6377.0
2020-04-29 10:13:00,90.44,90.54,90.43,90.53,7655.0
2020-04-29 10:14:00,90.54,90.62,90.53,90.59,9701.0
2020-04-29 10:15:00,90.58,90.68,90.58,90.64,8939.0
2020-04-29 10:16:00,90.63,90.8,90.63,90.75,9303.0
2020-04-29 10:17:00,90.77,90.88,90.74,90.81,13896.0
2020-04-29 10:18:00,90.795,90.85,90.79,90.8,11339.0
2020-04-29 10:19:00,90.7984,90.83,90.72,90.81,10572.0
2020-04-29 10:20:00,90.81,90.88,90.78,90.86,10912.0
2020-04-29 10:21:00,90.83,90.86,90.7886,90.7886,8318.0
2020-04-29 10:22:00,90.8,90.83,90.73,90.78,6005.0
2020-04-29 10:23:00,90.7687,90.82,90.72,90.81,25284.0
2020-04-29 10:24:00,90.83,90.83,90.75,90.76,3909.0
2020-04-29 10:25:00,90.74,90.7718,90.74,90.74,5656.0
2020-04-29 10:26:00,90.76,90.77,90.69,90.73,6444.0
2020-04-29 10:27:00,90.73,90.74,90.7,90.7,12183.0
2020-04-29 10:28:00,90.7,90.75,90.68,90.74,8991.0
2020-04-29 10:29:00,90.73,90.76,90.73,90.74,7494.0
2020-04-29 10:30:00,90.74,90.78,90.71,90.74,7099.0
2020-04-29 10:31:00,90.78,90.895,90.77,90.87,10279.0
2020-04-29 10:32:00,90.87,90.87,90.79,90.83,12851.0
2020-04-29 10:33:00,90.835,90.86,90.81,90.81,10129.0
2020-04-29 10:34:00,90.7931,90.82,90.76,90.76,4861.0
2020-04-29 10:35:00,90.77,90.89,90.76,90.86,9510.0
2020-04-29 10:36:00,90.86,91.01,90.86,91.0,40822.0
2020-04-29 10:37:00,91.0,91.04,90.99,91.03,12753.0
2020-04-29 10:38:00,91.05,91.05,90.92,90.92,23185.0
2020-04-29 10:39:00,90.915,90.94,90.85,90.87,7510.0
2020-04-29 10:40:00,90.88,90.935,90.86,90.93,3688.0
2020-04-29 10:41:00,90.96,90.98,90.93,90.97,8180.0
2020-04-29 10:42:00,91.0,91.08,91.0,91.04,7531.0
2020-04-29 10:43:00,91.03,91.03,90.965,91.01,3471.0
2020-04-29 10:44:00,91.04,91.06,91.0,91.05,3253.0
2020-04-29 10:45:00,91.05,91.12,91.05,91.12,8847.0
2020-04-29 10:46:00,91.11,91.11,91.01,91.09,5348.0
2020-04-29 10:47:00,91.1,91.1,91.03,91.08,9632.0
2020-04-29 10:48:00,91.0658,91.09,91.025,91.085,2816.0
2020-04-29 10:49:00,91.1,91.24,91.09,91.19,15446.0
2020-04-29 10:50:00,91.21,91.26,91.19,91.26,5226.0
2020-04-29 10:51:00,91.27,91.36,91.25,91.36,10705.0
2020-04-29 10:52:00,91.35,91.37,91.29,91.37,11454.0
2020-04-29 10:53:00,91.36,91.39,91.3,91.3,20898.0
2020-04-29 10:54:00,91.3,91.3,91.18,91.191,9242.0
2020-04-29 10:55:00,91.195,91.21,91.13,91.16,5862.0
2020-04-29 10:56:00,91.155,91.165,91.12,91.15,9173.0
2020-04-29 10:57:00,91.14,91.16,91.08,91.08,10916.0
2020-04-29 10:58:00,91.055,91.14,91.05,91.07,14149.0
2020-04-29 10:59:00,91.0786,91.1,91.04,91.085,4714.0
2020-04-29 11:00:00,91.09,91.11,91.04,91.11,10370.0
2020-04-29 11:01:00,91.11,91.12,91.04,91.05,14322.0
2020-04-29 11:02:00,91.05,91.11,91.045,91.045,23137.0
2020-04-29 11:03:00,91.059,91.07,90.9,90.91,13330.0
2020-04-29 11:04:00,90.92,90.96,90.9,90.901,7495.0
2020-04-29 11:05:00,90.91,90.91,90.83,90.87,14512.0
2020-04-29 11:06:00,90.87,90.98,90.86,90.95,14742.0
2020-04-29 11:07:00,90.92,90.97,90.9,90.9,5750.0
2020-04-29 11:08:00,90.88,90.88,90.8,90.8,7172.0
2020-04-29 11:09:00,90.8,90.8,90.69,90.75,29714.0
